,Month,applausescore,speech_tokens
0,2021-10,20.0,1737
1,2021-11,377.5,41712
2,2021-12,961.5,75640
3,2022-01,2042.5,168675
4,2022-02,1192.0,98492
5,2022-03,2740.0,244785
6,2022-04,1749.0,178680
7,2022-05,2408.5,250321
8,2022-06,2412.5,228532
9,2022-07,977.5,108759
10,2022-09,3279.5,361965
11,2022-10,1734.5,205065
12,2022-11,2514.0,277359
13,2022-12,1877.0,200651
14,2023-01,1459.0,192572
15,2023-02,819.0,111278
16,2023-03,2244.5,307255
17,2023-04,1282.5,196688
18,2023-05,1417.0,211293
19,2023-06,1586.5,233188
20,2023-07,732.0,98144
21,2023-09,3117.5,373835
22,2023-10,1539.5,211845
23,2023-11,2336.5,310062
24,2023-12,1024.0,135543
25,2024-01,1668.5,181799
26,2024-02,1498.0,170816
27,2024-03,1387.0,202219
28,2024-04,1506.5,209737
29,2024-05,764.5,118406
30,2024-06,2318.5,319439
31,2024-07,775.0,106812
32,2024-09,1655.5,254250
33,2024-10,1272.5,197266
34,2024-11,485.5,97260
35,2024-12,808.5,217208
36,2025-01,513.5,103559
37,2025-02,56.0,14271
38,2025-03,53.5,29610
