Month,speech_tokens,InterjectionScore_norm,month_dt
2021-10,1737,0.0,2021-10-01
2021-11,41712,1.4384349827387801,2021-11-01
2021-12,75640,1.3220518244315178,2021-12-01
2022-01,168675,1.363568993626797,2022-01-01
2022-02,98492,1.7260285099297406,2022-02-01
2022-03,244785,1.756643585187001,2022-03-01
2022-04,178680,1.8468770987239758,2022-04-01
2022-05,250321,1.3183072934352291,2022-05-01
2022-06,228532,1.0939387044265136,2022-06-01
2022-07,108759,1.287249790821909,2022-07-01
2022-09,361965,1.768126752586576,2022-09-01
2022-10,205065,3.2184916977543705,2022-10-01
2022-11,277359,1.4782285774032933,2022-11-01
2022-12,200651,3.737833352437815,2022-12-01
2023-01,192572,1.9213592838003448,2023-01-01
2023-02,111278,0.6290551591509552,2023-02-01
2023-03,307255,2.9617093293843877,2023-03-01
2023-04,196688,1.372732449361425,2023-04-01
2023-05,211293,2.88698631757796,2023-05-01
2023-06,233188,1.9297734017187849,2023-06-01
2023-07,98144,3.8718617541571567,2023-07-01
2023-09,373835,2.701726697607233,2023-09-01
2023-10,211845,1.793764308810687,2023-10-01
2023-11,310062,3.708935632228393,2023-11-01
2023-12,135543,3.9101982396730186,2023-12-01
2024-01,181799,4.2354468396415825,2024-01-01
2024-02,170816,2.7514986886474335,2024-02-01
2024-03,202219,3.8077529806793624,2024-03-01
2024-04,209737,3.1467981328997747,2024-04-01
2024-05,118406,3.716027903991352,2024-05-01
2024-06,319439,3.537451594827181,2024-06-01
2024-07,106812,3.651275137624986,2024-07-01
2024-09,254250,1.337266470009833,2024-09-01
2024-10,197266,2.179797836423915,2024-10-01
2024-11,97260,-5.243676742751388,2024-11-01
2024-12,217208,-11.50970498324187,2024-12-01
2025-01,103559,-11.87728734344673,2025-01-01
2025-02,14271,-25.92670450564081,2025-02-01
2025-03,29610,-7.092198581560284,2025-03-01
