Month,PartyPair,Party,InterjectionScore,speech_tokens,interjection_rate
2021-11,FDP–>GRUENE,GRUENE,1.0,11447,0.873591333973967
2021-11,FDP–>SPD,SPD,1.0,20611,0.48517781767017615
2021-11,GRUENE–>FDP,FDP,1.0,9654,1.0358400662937643
2021-11,GRUENE–>SPD,SPD,0.0,20611,0.0
2021-11,SPD–>FDP,FDP,2.0,9654,2.0716801325875287
2021-11,SPD–>GRUENE,GRUENE,1.0,11447,0.873591333973967
2021-12,FDP–>GRUENE,GRUENE,2.0,19022,1.0514141520344864
2021-12,FDP–>SPD,SPD,2.0,40338,0.4958104021022361
2021-12,GRUENE–>FDP,FDP,1.0,16280,0.6142506142506142
2021-12,GRUENE–>SPD,SPD,3.0,40338,0.7437156031533542
2021-12,SPD–>FDP,FDP,1.0,16280,0.6142506142506142
2021-12,SPD–>GRUENE,GRUENE,1.0,19022,0.5257070760172432
2022-01,FDP–>GRUENE,GRUENE,2.0,53228,0.3757420906289922
2022-01,FDP–>SPD,SPD,3.0,81037,0.37020126608833004
2022-01,GRUENE–>FDP,FDP,6.0,34410,1.7436791630340018
2022-01,GRUENE–>SPD,SPD,7.0,81037,0.8638029542061033
2022-01,SPD–>FDP,FDP,3.0,34410,0.8718395815170009
2022-01,SPD–>GRUENE,GRUENE,2.0,53228,0.3757420906289922
2022-02,FDP–>GRUENE,GRUENE,2.0,26059,0.7674891592156261
2022-02,FDP–>SPD,SPD,1.0,46900,0.21321961620469082
2022-02,GRUENE–>FDP,FDP,2.0,25533,0.7833000430815024
2022-02,GRUENE–>SPD,SPD,4.0,46900,0.8528784648187633
2022-02,SPD–>FDP,FDP,3.0,25533,1.1749500646222535
2022-02,SPD–>GRUENE,GRUENE,5.0,26059,1.9187228980390652
2022-03,FDP–>GRUENE,GRUENE,-2.0,68280,-0.29291154071470415
2022-03,FDP–>SPD,SPD,6.0,117575,0.5103125664469488
2022-03,GRUENE–>FDP,FDP,11.0,58930,1.8666214152384184
2022-03,GRUENE–>SPD,SPD,19.0,117575,1.6159897937486711
2022-03,SPD–>FDP,FDP,8.0,58930,1.3575428474461224
2022-03,SPD–>GRUENE,GRUENE,1.0,68280,0.14645577035735208
2022-04,FDP–>GRUENE,GRUENE,2.0,54599,0.3663070752211579
2022-04,FDP–>SPD,SPD,3.0,83812,0.35794396983725485
2022-04,GRUENE–>FDP,FDP,0.0,40269,0.0
2022-04,GRUENE–>SPD,SPD,10.0,83812,1.1931465661241827
2022-04,SPD–>FDP,FDP,11.0,40269,2.731629789664506
2022-04,SPD–>GRUENE,GRUENE,7.0,54599,1.2820747632740526
2022-05,FDP–>GRUENE,GRUENE,0.0,68222,0.0
2022-05,FDP–>SPD,SPD,6.0,122173,0.4911068730406882
2022-05,GRUENE–>FDP,FDP,5.0,59926,0.8343623802689984
2022-05,GRUENE–>SPD,SPD,11.0,122173,0.9003626005745949
2022-05,SPD–>FDP,FDP,5.0,59926,0.8343623802689984
2022-05,SPD–>GRUENE,GRUENE,6.0,68222,0.8794816921227756
2022-06,FDP–>GRUENE,GRUENE,0.0,62796,0.0
2022-06,FDP–>SPD,SPD,3.0,114446,0.2621323593659892
2022-06,GRUENE–>FDP,FDP,4.0,51290,0.7798791187365959
2022-06,GRUENE–>SPD,SPD,12.0,114446,1.0485294374639569
2022-06,SPD–>FDP,FDP,3.0,51290,0.5849093390524469
2022-06,SPD–>GRUENE,GRUENE,3.0,62796,0.4777374355054462
2022-07,FDP–>GRUENE,GRUENE,1.0,29806,0.33550291887539424
2022-07,FDP–>SPD,SPD,2.0,53501,0.3738247883217136
2022-07,GRUENE–>FDP,FDP,0.0,25452,0.0
2022-07,GRUENE–>SPD,SPD,4.0,53501,0.7476495766434272
2022-07,SPD–>FDP,FDP,5.0,25452,1.9644821625019646
2022-07,SPD–>GRUENE,GRUENE,2.0,29806,0.6710058377507885
2022-09,FDP–>GRUENE,GRUENE,10.0,116547,0.85802294353351
2022-09,FDP–>SPD,SPD,12.0,159582,0.7519645072752565
2022-09,GRUENE–>FDP,FDP,4.0,85836,0.46600493965236034
2022-09,GRUENE–>SPD,SPD,16.0,159582,1.0026193430336754
2022-09,SPD–>FDP,FDP,10.0,85836,1.1650123491309008
2022-09,SPD–>GRUENE,GRUENE,12.0,116547,1.029627532240212
2022-10,FDP–>GRUENE,GRUENE,3.0,55012,0.5453355631498582
2022-10,FDP–>SPD,SPD,17.0,101469,1.675388542313416
