Month,UndirectedPartyPair,InterjectionScore,speech_tokens,interjection_rate
2021-11,FDP-GRUENE,2.0,21101,0.9478223780863466
2021-11,FDP-SPD,3.0,30265,0.9912440112340988
2021-11,GRUENE-SPD,1.0,32058,0.31193461850396154
2021-12,FDP-GRUENE,3.0,35302,0.8498102090533114
2021-12,FDP-SPD,3.0,56618,0.5298668268041965
2021-12,GRUENE-SPD,4.0,59360,0.6738544474393532
2022-01,FDP-GRUENE,8.0,87638,0.9128460256966157
2022-01,FDP-SPD,6.0,115447,0.519719005257824
2022-01,GRUENE-SPD,9.0,134265,0.6703161657915316
2022-02,FDP-GRUENE,4.0,51592,0.7753140021708792
2022-02,FDP-SPD,4.0,72433,0.5522344787596813
2022-02,GRUENE-SPD,9.0,72959,1.2335695390561823
2022-03,FDP-GRUENE,9.0,127210,0.7074915494064933
2022-03,FDP-SPD,14.0,176505,0.793178663493952
2022-03,GRUENE-SPD,20.0,185855,1.0761077183826102
2022-04,FDP-GRUENE,2.0,94868,0.21081924358055404
2022-04,FDP-SPD,14.0,124081,1.1282952265052668
2022-04,GRUENE-SPD,17.0,138411,1.2282260802970861
2022-05,FDP-GRUENE,5.0,128148,0.3901738614726722
2022-05,FDP-SPD,11.0,182099,0.6040670184899423
2022-05,GRUENE-SPD,17.0,190395,0.8928805903516374
2022-06,FDP-GRUENE,4.0,114086,0.3506126956857108
2022-06,FDP-SPD,6.0,165736,0.36202152821354444
2022-06,GRUENE-SPD,15.0,177242,0.8463005382471424
2022-07,FDP-GRUENE,1.0,55258,0.18096927141771327
2022-07,FDP-SPD,7.0,78953,0.8866034222892101
2022-07,GRUENE-SPD,6.0,83307,0.7202275919190464
2022-09,FDP-GRUENE,14.0,202383,0.6917577069220241
2022-09,FDP-SPD,22.0,245418,0.8964297647279335
2022-09,GRUENE-SPD,28.0,276129,1.0140188100489265
2022-10,FDP-GRUENE,18.0,103596,1.7375188231205838
2022-10,FDP-SPD,29.0,150053,1.9326504635028958
2022-10,GRUENE-SPD,19.0,156481,1.2142049194470894
2022-11,FDP-GRUENE,1.0,151673,0.06593131275836833
2022-11,FDP-SPD,17.0,193351,0.8792300013964242
2022-11,GRUENE-SPD,23.0,209694,1.0968363424799947
2022-12,FDP-GRUENE,15.0,102165,1.4682131845543973
2022-12,FDP-SPD,28.0,143347,1.9533021270064947
2022-12,GRUENE-SPD,32.0,155790,2.0540471147056936
2023-01,FDP-GRUENE,7.0,97819,0.715607397335896
2023-01,FDP-SPD,13.0,139052,0.9349020510312689
2023-01,GRUENE-SPD,17.0,148273,1.1465337586748767
2023-02,FDP-GRUENE,-15.0,57495,-2.6089225150013045
2023-02,FDP-SPD,12.0,77458,1.5492266776833896
2023-02,GRUENE-SPD,10.0,87603,1.1415134184902345
2023-03,FDP-GRUENE,18.0,153088,1.175794314381271
2023-03,FDP-SPD,18.0,224473,0.8018781768854161
2023-03,GRUENE-SPD,55.0,236949,2.321174598753318
2023-04,FDP-GRUENE,-8.0,112128,-0.7134703196347032
2023-04,FDP-SPD,8.0,135353,0.5910471138430622
2023-04,GRUENE-SPD,27.0,145895,1.8506460125432673
2023-05,FDP-GRUENE,11.0,105011,1.0475093085486282
2023-05,FDP-SPD,28.0,155308,1.802869137455894
2023-05,GRUENE-SPD,22.0,162267,1.3557901483357675
2023-06,FDP-GRUENE,10.0,126663,0.7894965380576806
2023-06,FDP-SPD,11.0,156065,0.7048345240765066
2023-06,GRUENE-SPD,24.0,183648,1.3068478829064296
2023-07,FDP-GRUENE,1.0,48668,0.2054738226349963
2023-07,FDP-SPD,16.0,71367,2.2419325458545267
2023-07,GRUENE-SPD,21.0,76253,2.7539900069505463
2023-09,FDP-GRUENE,24.0,200779,1.1953441345957496
2023-09,FDP-SPD,26.0,268006,0.9701275344581838
2023-09,GRUENE-SPD,51.0,278885,1.828710758914965
2023-10,FDP-GRUENE,11.0,110583,0.9947279419078882
2023-10,FDP-SPD,6.0,149649,0.40093819537718256
2023-10,GRUENE-SPD,21.0,163458,1.2847336930587674
2023-11,FDP-GRUENE,24.0,155762,1.5408122648656282
2023-11,FDP-SPD,23.0,222357,1.034372652985964
2023-11,GRUENE-SPD,68.0,242005,2.8098593004276773
2023-12,FDP-GRUENE,13.0,69987,1.8574878191664166
2023-12,FDP-SPD,23.0,95971,2.3965572933490327
2023-12,GRUENE-SPD,17.0,105128,1.6170763260025875
2024-01,FDP-GRUENE,20.0,94601,2.114142556632594
2024-01,FDP-SPD,25.0,125614,1.990224019615648
2024-01,GRUENE-SPD,32.0,143383,2.2317848001506455
2024-02,FDP-GRUENE,4.0,96581,0.41416013501620397
2024-02,FDP-SPD,23.0,119661,1.9220965895320947
2024-02,GRUENE-SPD,20.0,125390,1.5950235265970174
2024-03,FDP-GRUENE,15.0,100321,1.4952004066945106
2024-03,FDP-SPD,21.0,146403,1.4343968361304071
2024-03,GRUENE-SPD,41.0,157714,2.5996423906565047
2024-04,FDP-GRUENE,12.0,113825,1.0542499450911487
2024-04,FDP-SPD,15.0,147341,1.0180465722371912
2024-04,GRUENE-SPD,39.0,158308,2.4635520630669325
2024-05,FDP-GRUENE,13.0,63930,2.0334741123103393
2024-05,FDP-SPD,11.0,82538,1.3327194746662143
2024-05,GRUENE-SPD,20.0,90344,2.2137607367395735
2024-06,FDP-GRUENE,12.0,163434,0.7342413451301443
2024-06,FDP-SPD,22.0,225344,0.9762851462652655
2024-06,GRUENE-SPD,79.0,250100,3.1587365053978407
2024-07,FDP-GRUENE,6.0,54198,1.1070519207350826
2024-07,FDP-SPD,13.0,78013,1.6663889351774706
2024-07,GRUENE-SPD,20.0,81413,2.4566101236903197
2024-09,FDP-GRUENE,-2.0,138290,-0.1446236170366621
2024-09,FDP-SPD,8.0,179992,0.4444641984088181
2024-09,GRUENE-SPD,28.0,190218,1.4719952896150732
2024-10,FDP-GRUENE,-2.0,101906,-0.1962592977842325
2024-10,FDP-SPD,15.0,138542,1.0827041619147983
2024-10,GRUENE-SPD,30.0,154084,1.9469899535318398
2024-11,FDP-GRUENE,-13.0,51627,-2.518062254246809
2024-11,FDP-SPD,-53.0,68747,-7.7094273204648935
2024-11,GRUENE-SPD,15.0,74146,2.023035632400939
2024-12,FDP-GRUENE,-80.0,108742,-7.3568630336024725
2024-12,FDP-SPD,-210.0,156023,-13.459554040109472
2024-12,GRUENE-SPD,40.0,169651,2.3577815633270656
2025-01,FDP-GRUENE,-67.0,57803,-11.591093887860492
2025-01,FDP-SPD,-72.0,69569,-10.349437249349567
2025-01,GRUENE-SPD,16.0,79746,2.006370225465854
2025-02,FDP-GRUENE,-24.0,7329,-32.74662300450266
2025-02,FDP-SPD,-15.0,9805,-15.298317185109637
2025-02,GRUENE-SPD,2.0,11408,1.753155680224404
2025-03,FDP-GRUENE,-6.0,17073,-3.5143208574942895
2025-03,FDP-SPD,-12.0,20347,-5.89767533297292
2025-03,GRUENE-SPD,-3.0,21800,-1.3761467889908259
